#---|-----  LSE -----|-----  JK ------|----- DELTA ----|---- SD_LSE ----|---- SD_J -----
  0 | 1.000248926258 | 1.000248928018 | 0.000000174284 | 0.099717681090 | 0.099717681087
----|----------------|----------------|----------------|----------------|---------------
  1 | 0.982238036561 | 0.982240293537 | 0.000223440594 | 0.115705451778 | 0.115705451768
  2 | 0.982683281153 | 0.982685260909 | 0.000195995807 | 0.115733479432 | 0.115733479424
  4 | 0.983318563778 | 0.983320059500 | 0.000148076441 | 0.115769171484 | 0.115769171479
  6 | 0.984071431491 | 0.984072484794 | 0.000104276961 | 0.115795568251 | 0.115795568246
  8 | 0.984721134502 | 0.984721801904 | 0.000066072824 | 0.115813218506 | 0.115813218503
 11 | 0.985838638578 | 0.985838809198 | 0.000016891461 | 0.115875286362 | 0.115875286360
 13 | 0.986553238012 | 0.986553134303 | 0.000010267228 | 0.115891932250 | 0.115891932247
 16 | 0.987645218436 | 0.987644781111 | 0.000043295113 | 0.115939132614 | 0.115939132611
 18 | 0.988356640442 | 0.988356028357 | 0.000060596401 | 0.115970391013 | 0.115970391009
 21 | 0.989431587136 | 0.989430779288 | 0.000079976910 | 0.116010435812 | 0.116010435808
 23 | 0.990151332811 | 0.990150435418 | 0.000088841868 | 0.116022305681 | 0.116022305677
 26 | 0.991274414026 | 0.991273442509 | 0.000096180202 | 0.116068085791 | 0.116068085787

