#---|-----  LSE -----|-----  JK ------|----- DELTA ----|---- SD_LSE ----|---- SD_J -----
  0 | 1.000248926258 | 1.000248928018 | 0.000000174284 | 0.099717681090 | 0.099717681087
----|----------------|----------------|----------------|----------------|---------------
  1 | 0.973239836201 | 0.973243219877 | 0.000334983945 | 0.133443139754 | 0.133443139737
  2 | 0.973865044801 | 0.973868017542 | 0.000294301360 | 0.133489453454 | 0.133489453440
  4 | 0.974860255440 | 0.974862497536 | 0.000221967478 | 0.133557677528 | 0.133557677519
  6 | 0.975973051167 | 0.975974630867 | 0.000156390288 | 0.133618629191 | 0.133618629186
  8 | 0.976982682192 | 0.976983681325 | 0.000098914114 | 0.133668475937 | 0.133668475934
 11 | 0.978640078290 | 0.978640333263 | 0.000025242413 | 0.133773589691 | 0.133773589689
 13 | 0.979714605739 | 0.979714449365 | 0.000015480960 | 0.133819678412 | 0.133819678409
 16 | 0.981346478184 | 0.981345821425 | 0.000065019072 | 0.133905315244 | 0.133905315241
 18 | 0.982417828205 | 0.982416909576 | 0.000090944283 | 0.133959756101 | 0.133959756098
 21 | 0.984032666920 | 0.984031454998 | 0.000119980269 | 0.134032630604 | 0.134032630600
 23 | 0.985112340609 | 0.985110994513 | 0.000133263511 | 0.134066503453 | 0.134066503448
 26 | 0.986775313846 | 0.986773854406 | 0.000144484609 | 0.134138852806 | 0.134138852801

