#---|---  LSE ---|---- JK ----|-- DELTA ---|-- SD_LSE --|--- SD_J ---
  0 | 0.99998300 | 0.99998299 | 0.00000051 | 0.09964290 | 0.09964290
----|------------|------------|------------|------------|------------
  1 | 0.98801213 | 0.98801362 | 0.00014788 | 0.10680157 | 0.10680157
  2 | 0.98824384 | 0.98824515 | 0.00013036 | 0.10679794 | 0.10679794
  4 | 0.98874350 | 0.98874449 | 0.00009767 | 0.10682114 | 0.10682114
  6 | 0.98918115 | 0.98918185 | 0.00006900 | 0.10683456 | 0.10683456
  8 | 0.98965406 | 0.98965450 | 0.00004332 | 0.10685035 | 0.10685035
 11 | 0.99038604 | 0.99038614 | 0.00001062 | 0.10686702 | 0.10686702
 13 | 0.99087912 | 0.99087904 | 0.00000745 | 0.10689221 | 0.10689221
 16 | 0.99158766 | 0.99158736 | 0.00002947 | 0.10690616 | 0.10690616
 18 | 0.99208774 | 0.99208732 | 0.00004086 | 0.10692729 | 0.10692729
 21 | 0.99281507 | 0.99281453 | 0.00005362 | 0.10693125 | 0.10693125
 23 | 0.99322094 | 0.99322033 | 0.00006012 | 0.10693778 | 0.10693778
 26 | 0.99397516 | 0.99397450 | 0.00006502 | 0.10694370 | 0.10694370

