#---|---  LSE ---|---- JK ----|-- DELTA ---|-- SD_LSE --|--- SD_J ---
  0 | 0.99991624 | 0.99991625 | 0.00000108 | 0.09971099 | 0.09971099
----|------------|------------|------------|------------|------------
  1 | 0.99093294 | 0.99093408 | 0.00011244 | 0.10358956 | 0.10358956
  2 | 0.99109827 | 0.99109927 | 0.00009938 | 0.10360094 | 0.10360094
  4 | 0.99144393 | 0.99144469 | 0.00007509 | 0.10360249 | 0.10360249
  6 | 0.99181748 | 0.99181802 | 0.00005320 | 0.10361226 | 0.10361226
  8 | 0.99216287 | 0.99216321 | 0.00003399 | 0.10361203 | 0.10361203
 11 | 0.99272024 | 0.99272034 | 0.00000943 | 0.10362861 | 0.10362861
 13 | 0.99306493 | 0.99306488 | 0.00000414 | 0.10362585 | 0.10362585
 16 | 0.99357896 | 0.99357875 | 0.00002078 | 0.10364533 | 0.10364533
 18 | 0.99399773 | 0.99399744 | 0.00002916 | 0.10365440 | 0.10365440
 21 | 0.99449427 | 0.99449387 | 0.00003909 | 0.10367500 | 0.10367500
 23 | 0.99484964 | 0.99484920 | 0.00004358 | 0.10365182 | 0.10365182
 26 | 0.99540704 | 0.99540657 | 0.00004733 | 0.10368176 | 0.10368176

