#---|-----  LSE -----|-----  JK ------|----- DELTA ----|---- SD_LSE ----|---- SD_J -----
  0 | 1.000248926258 | 1.000248928018 | 0.000000174284 | 0.099717681090 | 0.099717681087
----|----------------|----------------|----------------|----------------|---------------
  1 | 0.985237436681 | 0.985239318090 | 0.000186259477 | 0.110934116776 | 0.110934116768
  2 | 0.985622693271 | 0.985624342031 | 0.000163227289 | 0.110956682784 | 0.110956682777
  4 | 0.986137999891 | 0.986139246821 | 0.000123446095 | 0.110983133948 | 0.110983133943
  6 | 0.986770891599 | 0.986771769436 | 0.000086905852 | 0.110999411410 | 0.110999411406
  8 | 0.987300618605 | 0.987301175430 | 0.000055125728 | 0.111007774367 | 0.111007774364
 11 | 0.988238158674 | 0.988238301177 | 0.000014107811 | 0.111057352094 | 0.111057352091
 13 | 0.988832782103 | 0.988832695949 | 0.000008529317 | 0.111065389961 | 0.111065389958
 16 | 0.989744798520 | 0.989744434340 | 0.000036053793 | 0.111101428119 | 0.111101428116
 18 | 0.990336244521 | 0.990335734618 | 0.000050480440 | 0.111126008891 | 0.111126008888
 21 | 0.991231227208 | 0.991230554052 | 0.000066642457 | 0.111156554044 | 0.111156554040
 23 | 0.991830996878 | 0.991830249053 | 0.000074034653 | 0.111161972435 | 0.111161972432
 26 | 0.992774114086 | 0.992773305210 | 0.000080078733 | 0.111200051286 | 0.111200051282

