#---|-----  LSE -----|-----  JK ------|----- DELTA ----|---- SD_LSE ----|---- SD_J -----
  0 | 1.000248926258 | 1.000248928018 | 0.000000174284 | 0.099717681090 | 0.099717681087
----|----------------|----------------|----------------|----------------|---------------
  1 | 0.979238636441 | 0.979241268984 | 0.000260621711 | 0.121099357742 | 0.121099357730
  2 | 0.979743869036 | 0.979746179787 | 0.000228764325 | 0.121133233152 | 0.121133233142
  4 | 0.980499127665 | 0.980500872178 | 0.000172706787 | 0.121179117913 | 0.121179117906
  6 | 0.981371971383 | 0.981373200152 | 0.000121648070 | 0.121216485607 | 0.121216485603
  8 | 0.982141650398 | 0.982142428377 | 0.000077019921 | 0.121244296728 | 0.121244296724
 11 | 0.983439118482 | 0.983439317220 | 0.000019675112 | 0.121319966845 | 0.121319966842
 13 | 0.984273693921 | 0.984273572657 | 0.000012005139 | 0.121345957237 | 0.121345957234
 16 | 0.985545638352 | 0.985545127883 | 0.000050536432 | 0.121405312175 | 0.121405312172
 18 | 0.986377036363 | 0.986376322097 | 0.000070712362 | 0.121443874166 | 0.121443874163
 21 | 0.987631947064 | 0.987631004525 | 0.000093311363 | 0.121494284106 | 0.121494284102
 23 | 0.988471668743 | 0.988470621783 | 0.000103649082 | 0.121513147129 | 0.121513147125
 26 | 0.989774713966 | 0.989773579808 | 0.000112281671 | 0.121567317286 | 0.121567317282

