#---|---  LSE ---|---- JK ----|-- DELTA ---|-- SD_LSE --|--- SD_J ---
  0 | 0.99993006 | 0.99993005 | 0.00000042 | 0.09967349 | 0.09967349
----|------------|------------|------------|------------|------------
  1 | 0.97599712 | 0.97600011 | 0.00029626 | 0.12699263 | 0.12699263
  2 | 0.97640316 | 0.97640580 | 0.00026186 | 0.12701627 | 0.12701627
  4 | 0.97737218 | 0.97737416 | 0.00019664 | 0.12707390 | 0.12707390
  6 | 0.97834933 | 0.97835073 | 0.00013845 | 0.12713837 | 0.12713837
  8 | 0.97933410 | 0.97933498 | 0.00008699 | 0.12718299 | 0.12718299
 11 | 0.98067662 | 0.98067684 | 0.00002192 | 0.12725298 | 0.12725298
 13 | 0.98167708 | 0.98167694 | 0.00001434 | 0.12730984 | 0.12730984
 16 | 0.98313756 | 0.98313697 | 0.00005834 | 0.12737422 | 0.12737422
 18 | 0.98408066 | 0.98407984 | 0.00008141 | 0.12742128 | 0.12742128
 21 | 0.98553415 | 0.98553307 | 0.00010709 | 0.12747707 | 0.12747707
 23 | 0.98648351 | 0.98648231 | 0.00011896 | 0.12749627 | 0.12749627
 26 | 0.98794180 | 0.98794050 | 0.00012913 | 0.12755452 | 0.12755452

